iter	Passed	Remaining
342	2312	4429
343	2317	4420
344	2323	4410
345	2328	4401
346	2333	4391
347	2339	4383
348	2345	4374
349	2350	4365
350	2355	4355
351	2360	4345
352	2365	4335
353	2372	4328
354	2377	4319
355	2382	4309
356	2387	4299
357	2392	4289
358	2397	4281
359	2403	4272
360	2408	4262
361	2413	4253
362	2418	4243
363	2423	4235
364	2428	4225
365	2434	4216
366	2439	4207
367	2444	4198
368	2451	4191
369	2456	4183
370	2461	4173
371	2467	4164
372	2472	4155
373	2477	4146
374	2482	4138
375	2487	4128
376	2493	4119
377	2498	4110
378	2503	4101
379	2509	4093
380	2514	4084
381	2519	4075
382	2524	4066
383	2529	4057
384	2536	4051
385	2541	4043
386	2554	4046
387	2568	4050
388	2578	4050
389	2597	4062
390	2602	4053
391	2611	4051
392	2621	4049
393	2635	4052
394	2643	4048
395	2657	4052
396	2669	4054
397	2682	4057
398	2687	4048
399	2692	4039
400	2699	4032
401	2713	4036
402	2727	4040
403	2741	4044
404	2756	4050
405	2762	4041
406	2767	4032
407	2773	4024
408	2788	4029
409	2794	4020
410	2798	4011
411	2803	4001
412	2809	3993
413	2814	3984
414	2819	3974
415	2824	3965
